Anime,Genre_Tags,Source,Nb_Episodes,Status,Studio,Date_Pub,Note_Globale,Note_Meilleur_Ep,Meilleur_Ep_Titre,Comm_Meilleur_Ep,Note_Pire_Ep,Pire_Ep_Titre,Comm_Pire_Ep,Comm_Saison_1,Comm_Saison_2,Comm_Saison_3,Ecart,Regularite,Longueur_Log,Profil,Score_Regularite,Bonus_Longevite,Score_Final,Genre_Principal,Longevite_Score,Score_Ultime,Score_Qualite_Pure,Score_Synthese
Demon Slayer: Kimetsu no Yaiba,Action / Supernatural,Manga,55,En cours,Ufotable,2019-04-06,8.5,9.9,Ep 2x17: I Will Never Give Up,Combat d'une intensité visuelle inégalée (Tengen vs Gyutaro).,7.3,Ep 11: Tsuzumi Mansion,Arc un peu plus lent avant le Mont Natagumo.,Animation révolutionnaire qui a rédefini les standards TV.,Phénomène culturel mondial (Mugen Train et records au box-office).,Personnages attachants (Tanjiro) et bestiaire marquant.,2.6000000000000005,7.3999999999999995,4.02535169073515,Stable,7.3999999999999995,4.02535169073515,7.722535169073514,Action,0.4783808647654094,7.647838086476542,8.45,8.45
The Eminence in Shadow,Action / Isekai,Light Novel,32,En cours,Nexus,2022-10-05,8.2,9.0,Ep 20: Advent of the Demon,I AM ATOMIC. Le summum du 'Chunibyo' stylé.,7.4,Ep 10: The Sacred Land,Un peu d'exposition nécessaire mais moins d'action.,Parodie brillante des tropes Isekai 'Edgy'.,Cid Kagenou est un protagoniste hilarant dans son incompréhension.,Mélange parfait d'humour absurde et d'action sérieuse.,1.5999999999999996,8.4,3.4965075614664802,Chef-d’œuvre,8.4,3.4965075614664802,7.7896507561466475,Action,0.2667893284268629,7.626678932842686,8.42,8.42
Black Clover,Action / Fantasy,Manga,170,En pause,Studio Pierrot,2017-10-03,8.1,9.7,Ep 167: Black Oath,Le combat contre Dante. Animation Pierrot à son apogée.,2.7,Ep 82: Clover Clips Special,Episode résumé (Recap) unanimement détesté. (Autre point faible cité : Ep 29: Path).,Débuts difficiles avec une animation parfois instable.,Un Shonen classique qui devient incroyablement solide avec le temps.,"Asta crie beaucoup au début, mais son évolution est satisfaisante.",6.999999999999999,3.000000000000001,5.14166355650266,Inconstant,3.000000000000001,5.14166355650266,6.274166355650266,Action,1.5363385464581416,6.233633854645814,6.890000000000001,6.890000000000001
The Promised Neverland,Mystery / Horror,Manga,23,Fini,CloverWorks,2019-01-11,8.5,9.8,Ep 12: 150146,L'évasion. Une conclusion parfaite pour la Saison 1.,5.3,Ep 2x11: The Final,"Saison 2 catastrophique (diaporama final), insulte au manga.",Saison 1 : Un chef d'oeuvre de tension et de stratégie.,"Saison 2 : Rush narratif incompréhensible, arc Goldy Pond sauté.",,4.500000000000001,5.499999999999999,3.1780538303479458,Inconstant,5.499999999999999,3.1780538303479458,7.067805383034794,Mystery,0.18399264029438822,7.028399264029439,7.859999999999999,7.859999999999999
Chainsaw Man,Action / Horror,Manga,12,En cours,MAPPA,2022-10-12,8.4,8.7,Ep 8: GUNFIRE,Le tournant brutal de la série. Mise en scène cinématographique.,7.7,Ep 2: ARRIVAL IN TOKYO,"Introduction des personnages, rythme un peu plus posé.","Une direction artistique 'cinéma' unique, loin des standards anime.",Denji : un héros aux motivations simples mais réalistes.,,0.9999999999999991,9.0,2.5649493574615367,Chef-d’œuvre,9.0,2.5649493574615367,7.996494935746154,Action,0.0827966881324747,7.808279668813248,8.64,8.64
Vinland Saga,Adventure / Drama,Manga,48,En cours,Wit Studio / MAPPA,2019-07-08,8.8,8.9,Ep 2x22: Emperor of Rebellion,'I have no enemies'. L'aboutissement du pacifisme de Thorfinn.,7.4,Ep 13: Child of a Hero,Transition un peu plus faible au milieu de la S1.,Changement radical de ton entre S1 (Guerre) et S2 (Fermier).,Une des meilleures évolutions de personnage (Thorfinn).,,1.5,8.5,3.8918202981106265,Chef-d’œuvre,8.5,3.8918202981106265,8.219182029811062,Adventure,0.4139834406623735,7.891398344066238,8.73,8.73
Fairy Tail,Adventure / Magic,Manga,328,En cours,A-1 Pictures,2009-10-12,7.6,9.7,Ep 175: Natsu vs. Twin Dragons,Sommet du tournoi et de la 'Hype' Fairy Tail.,7.3,Ep 69: Call of the Dragon,Arc Daphne (Filler) souvent cité comme le point faible.,Le pouvoir de l'amitié (Nakama Power) poussé à l'extrême.,Bande son celtique rock légendaire de Yasuharu Takanashi.,,2.3999999999999995,7.6000000000000005,5.796057750765372,Stable,7.6000000000000005,5.796057750765372,7.419605775076537,Adventure,2.9898804047838086,7.558988040478381,8.02,8.02
Mashle: Magic and Muscles,Comedy / Action,Manga,24,En cours,A-1 Pictures,2023-04-08,7.6,8.4,Ep 17: Finn Ames and the Friend,Moment de bravoure inattendu pour Finn.,7.5,Ep 5: The Unpopular Classmate,Humour répétitif qui peut lasser certains spectateurs.,Parodie assumée de Harry Potter avec un One Punch Man.,Les Opening sont des phénomènes viraux (Bling-Bang-Bang-Born).,,0.9000000000000004,9.1,3.2188758248682006,Stable,9.1,3.2188758248682006,7.611887582486819,Comedy,0.19319227230910763,7.46931922723091,8.209999999999999,8.209999999999999
SPY×FAMILY,Comedy / Slice of Life,Manga,37,En cours,Wit / CloverWorks,2022-04-09,8.4,9.1,Ep 2: Secure a Wife,L'introduction de Yor. Mélange parfait d'action et comédie.,7.8,Ep 17: Carry Out the Griffon Plan,"Episode plus léger 'Slice of Life', moins d'enjeux.",La dynamique familiale Forger est le coeur de la série.,Anya est une icône de la culture anime moderne.,,1.2999999999999998,8.7,3.6375861597263857,Chef-d’œuvre,8.7,3.6375861597263857,8.01375861597264,Comedy,0.31278748850046,7.821278748850047,8.63,8.63
Dan Da Dan,Action / Supernatural,Manga,12,En cours,Science SARU,2024-10-04,8.4,9.7,Ep 7: Acrobatic Silky,Une histoire tragique et émouvante derrière le monstre.,7.9,Ep 12: Let's Go to the Cursed House,Fin de saison un peu abrupte pour certains.,Animation déjantée et créative typique de Science SARU.,"Mélange unique d'occulte, d'aliens et de romance adolescente.",,1.799999999999999,8.200000000000001,2.5649493574615367,Chef-d’œuvre,8.200000000000001,2.5649493574615367,7.7564949357461535,Action,0.0827966881324747,7.768279668813247,8.6,8.6
Made in Abyss,Adventure / Mystery,Manga,25,En cours,Kinema Citrus,2017-07-07,8.6,9.6,Ep 13: The Challengers,Un épisode final d'une beauté et d'une cruauté absolues.,7.5,Ep 6: Incinerator,"Episode d'entraînement, nécessaire mais moins captivant.",Contraste brutal entre le design 'Chibi' et l'horreur du scénario.,Un voyage sans retour vers les profondeurs traumatisantes.,,2.0999999999999996,7.9,3.258096538021482,Stable,7.9,3.258096538021482,7.855809653802147,Adventure,0.20239190432382703,7.750239190432383,8.59,8.59
Kuroko's Basket,Sport / Basketball,Manga,75,Fini,Production I.G,2012-04-07,8.1,9.0,Ep 24: Don't Get the Wrong Idea,Kise vs Aomine. Le duel de la Génération des Miracles.,7.3,Ep 5: Your Basketball,"Mise en place de l'équipe, rythme plus lent.",Basket avec des super-pouvoirs assumés ('The Zone').,Animation fluide et intensité des matchs incomparable.,,1.7000000000000002,8.3,4.330733340286331,Chef-d’œuvre,8.3,4.330733340286331,7.783073334028633,Sport,0.6623735050597976,7.59623735050598,8.34,8.34
Mob Psycho 100,Action / Supernatural,Manga,37,Fini,Bones,2016-07-11,8.5,9.5,Ep 2x07: Cornered,L'évolution de Reigen et le climax émotionnel de la S2.,7.5,Ep 1: Self Proclaimed Psychic,Style visuel unique qui peut dérouter au premier épisode.,Animation 'Sakuga' époustouflante de Bones.,Reigen Arataka est l'un des meilleurs mentors de l'anime.,,2.0,8.0,3.6375861597263857,Stable,8.0,3.6375861597263857,7.863758615972639,Action,0.31278748850046,7.731278748850047,8.55,8.55
